Job_Title,Company_Name,Salary,Working_Status,Working_Type,Skills,Employee,Industry,Location,Date
Software Engineer,Hedge Fund ,167500,Full-time,On-site,"['Angular', 'AttentiontoDetail', 'Communication', 'JavaScript', 'Object-OrientedProgramming(OOP)', 'ProblemSolving', 'Python(ProgrammingLanguage)', 'React.js', 'Windows', 'Wireframing']",,," New York, NY",6 days ago
Software Engineer intern,Lockheed Martin ,32405,Full-time,Hybrid,"['ComputerTechnology', 'Engineering', 'Java', 'JavaScript', 'JavaScriptFrameworks', 'MongoDB', 'ProblemSolving', 'Python(ProgrammingLanguage)', 'SoftwareDesign', 'UserRequirements']","10,001+ employees ", Defense and Space Manufacturing," King of Prussia, PA",3 weeks ago
Software Engineer intern,Adobe ,26881,Full-time,On-site,"['C++', 'Communication', 'Debugging', 'DefiningRequirements', 'Java', 'JavaScript', 'ProblemSolving', 'Python(ProgrammingLanguage)']","10,001+ employees ", Software Development," New York, NY Reposted  2 weeks ago",2 weeks ago
Software Engineer intern,Visa ,118099,Full-time,On-site,"['C#', 'Communication', 'DefiningRequirements', 'ProblemSolving', 'Python(ProgrammingLanguage)', 'QualityAssurance', 'RepresentationalStateTransfer(REST)', 'RootCause', 'RootCauseAnalysis', 'TestAutomationTools']","10,001+ employees ", IT Services and IT Consulting," Austin, TX Reposted  1 week ago",1 week ago
Software Engineer,KPG99 INC ,92551,Full-time,On-site,[],51-200 employees , IT Services and IT Consulting," West Des Moines, IA",8 hours ago
Software Engineer,Numeric Technologies ,44188,Full-time,Remote,"['JavaScript', 'Jenkins', 'ManualTesting', 'Node.js', 'ProductQuality', 'QualityAssurance', 'TestPlanning', 'TestProcesses', 'TestScripts', 'TypeScript']","1,001-5,000 employees ", Information Technology & Services," California, United States",6 days ago
Software Engineer intern,Benchling ,9763,Full-time,On-site,['ProblemSolving'],"501-1,000 employees ", Software Development," San Francisco, CA Reposted  1 week ago",1 week ago
Software Engineer intern,Indiana Farm Bureau Insurance ,11113,Full-time,Hybrid,[],"1,001-5,000 employees ", Insurance," Indianapolis, IN",1 hour ago
Software Engineer,HashiCorp ,35790,Full-time,Hybrid,"['CompetitiveL', 'scape', 'DevelopmentOperations', 'ITOperations', 'InternationalTravel', 'PrepressProofing', 'ProductEvaluations', 'ProductService', 'RelationshipDevelopment', 'ValuePropositions', 'WorkableSolutions']","1,001-5,000 employees ", Software Development," Massachusetts, United States",7 hours ago
Software Engineer intern,C3 AI ,89359,Full-time,On-site,"['Algorithms', 'Communication', 'DataStructures', 'Java', 'Optimization']","1,001-5,000 employees ", Software Development," Redwood City, CA",1 week ago
Software Engineer,Unify ,399989,Full-time,Hybrid,"['DataEngineering', 'DevOps', 'GoogleCloudPlatform(GCP)', 'Kubeflow', 'MLOps', 'MLflow', 'Operations', 'SkillDevelopment', 'SoftwareDevelopment']",11-50 employees,," Boston, MA",6 days ago
Software Engineer,Revature ,389205,Full-time,On-site,"['C(ProgrammingLanguage)', 'C#', 'C++', 'CascadingStyleSheets(CSS)', 'HTML', 'Java', 'JavaScript', 'Node.js', 'Python(ProgrammingLanguage)', 'React.js']","1,001-5,000 employees ", IT Services and IT Consulting," Fall River, MA",6 days ago
Data Engineer,Incendia Partners ,205865,Full-time,Hybrid,"['AdobeInDesign', 'BuildingPerformance', 'Cross-teamCollaboration', 'DataAnalytics', 'DataCenterVirtualization', 'DataIntegration', 'DataModeling', 'DataWarehousing', 'RootCause', 'SkillDevelopment']",11-50 employees , Staffing and Recruiting," Boston, MA",1 week ago
,HCLTech ,283357,Full-time,On-site,"['CMM', 'Calibration', 'DimensionalMetrology', 'MCOSMOSCoordinateMeasuringMachineSoftware', 'Manufacturing', 'Measurements', 'MechanicalEngineering', 'Programming', 'SemiconductorEngineering', 'SystemsEngineering']","10,001+ employees ", IT Services and IT Consulting," Milpitas, CA",6 days ago
Software Engineer intern,HM Health Solutions ,109418,Full-time,On-site,[],"1,001-5,000 employees ", IT Services and IT Consulting," Pennsylvania, United States",1 week ago
Software Engineer intern,Adobe ,108259,Full-time,On-site,"['C++', 'Communication', 'Debugging', 'DefiningRequirements', 'Java', 'JavaScript', 'ProblemSolving', 'Python(ProgrammingLanguage)']","10,001+ employees ", Software Development," Lehi, UT Reposted  2 weeks ago",2 weeks ago
Software Engineer,Amazon ,169300,Full-time,On-site,"['CodingSt', 'ards', 'Communication', 'DesignPatterns', 'Functionality', 'Interfaces', 'Programming', 'ProgrammingLanguages', 'SkillDevelopment', 'SoftwareDevelopment', 'SoftwareDevelopmentLifeCycle(SDLC)']","10,001+ employees ", Software Development," Seattle, WA Reposted  4 days ago",4 days ago
Data Engineer,Apex Systems ,341770,Full-time,On-site,"['BuildingManagementSystems', 'BuildingPerformance', 'CoolingTowers', 'DataCenters', 'ElectricalWork', 'Generators', 'PowerDistribution', 'Switchgear', 'Troubleshooting', 'UPSSystems']","1,001-5,000 employees ", IT Services and IT Consulting," Sterling, VA",6 days ago
Software Engineer,Amtex Systems Inc. ,116187,Full-time,Hybrid,"['Cross-teamCollaboration', 'DataAnalytics', 'DataCenterDesign', 'DataModeling', 'DataSecurity', 'Documentation', 'GraphDatabases', 'MicrosoftAzure', 'NoSQL']","1,001-5,000 employees ", IT Services and IT Consulting," Iowa, United States",6 days ago
Software Engineer,Stem IT ,155000,Full-time,Hybrid,"['AmazonWebServices(AWS)', 'Ansible', 'ContinuousIntegration', 'ContinuousDelivery(CI/CD)', 'DevOps', 'GoogleCloudPlatform(GCP)', 'Jenkins', 'Kubernetes', 'SiteReliabilityEngineering', 'Splunk', 'Terraform']",1-10 employees , Staffing and Recruiting," Baltimore, MD",6 days ago
Software Engineer intern,Pearson ,81112,Full-time,On-site,"['DesignPatterns', 'Microservices', 'ProblemSolving']","10,001+ employees ", Education," Durham, NC",2 weeks ago
Software Engineer,Optomi ,215651,Full-time,Hybrid,"['AWSCloudFormation', 'AmazonWebServices(AWS)', 'Ansible', 'Bash', 'DockerProducts', 'ElasticStack(ELK)', 'Kubernetes', 'Python(ProgrammingLanguage)', 'Splunk', 'Terraform']","501-1,000 employees ", IT Services and IT Consulting," Plano, TX",6 days ago
Data Engineer,Hamilton Barnes 🌳 ,70000,Full-time,On-site,"['Cabling', 'DataCenterInfrastructure', 'DataCenters', 'MicrosoftExchange', 'NetworkDevices', 'Racking', 'SkillDevelopment', 'StorageDevices', 'Teamwork', 'Troubleshooting']",51-200 employees , Staffing and Recruiting," Secaucus, NJ",6 6 days ago
Software Engineer,Turnberry Solutions ,94325,Full-time,On-site,"['C#', 'DatabaseDesign', 'PerformanceTuning', 'SQL', 'SQLServerAnalysisServices(SSAS)', 'XML']","1,001-5,000 employees ", Business Consulting and Services, Denver Metropolitan Area,6 days ago
Software Engineer,Astrodyne TDI ,140286,Full-time,On-site,"['C#', 'C++', 'CommunicationProtocols', 'ComputerEngineering', 'ElectronicHardware', 'GPIB', 'InterpersonalSkills', 'Python(ProgrammingLanguage)', 'TestAutomation', 'Troubleshooting']","501-1,000 employees "," Appliances, Electrical, and Electronics Manufacturing"," Hackettstown, NJ",6 days ago
Software Engineer,Understanding Recruitment ,34298,Full-time,Hybrid,"['Blockchain', 'EmployeeBenefits', 'JavaScript', 'Node.js', 'ProductService', 'React.js', 'SCIClearance', 'SkillDevelopment', 'StartupEnvironments', 'TypeScript']",51-200 employees , Staffing and Recruiting," New York, NY",3 weeks ago
Software Engineer intern,Lockheed Martin ,70213,Full-time,Hybrid,"['C(ProgrammingLanguage)', 'C#', 'C++', 'Communication', 'Python(ProgrammingLanguage)', 'SkillDevelopment', 'SoftwareDevelopment']","10,001+ employees ", Defense and Space Manufacturing," Marietta, GA",4 weeks ago
Software Engineer,ITR Group ,80000,Full-time,Hybrid,"['.NETFramework', 'ApplicationDevelopment', 'C(ProgrammingLanguage)', 'C#', 'Communication', 'Design', 'SQL', 'ServiceWork', 'SkillDevelopment', 'UnitTesting']",51-200 employees , IT Services and IT Consulting, Greater Minneapolis-St. Paul Area,6 days ago
