Job_Title,Company_Name,Salary,Working_Status,Working_Type,Skills,Employee,Industry,Location,Date
Software Engineer Intern (Summer 2024),Benchling ,,Full-time,On-site,['ProblemSolving'],"501-1,000 employees ", Software Development," San Francisco, CA Reposted  1 week ago",1 week ago
Software Development Intern - Summer 2024,Indiana Farm Bureau Insurance ,,Full-time,Hybrid,[],"1,001-5,000 employees ", Insurance," Indianapolis, IN",1 hour ago
Solutions Engineer,HashiCorp ,,Full-time,Hybrid,"['CompetitiveL', 'scape', 'DevelopmentOperations', 'ITOperations', 'InternationalTravel', 'PrepressProofing', 'ProductEvaluations', 'ProductService', 'RelationshipDevelopment', 'ValuePropositions', 'WorkableSolutions']","1,001-5,000 employees ", Software Development," Massachusetts, United States",7 hours ago
Software Engineer - Intern (Summer 2024),C3 AI ,,Full-time,On-site,"['Algorithms', 'Communication', 'DataStructures', 'Java', 'Optimization']","1,001-5,000 employees ", Software Development," Redwood City, CA",1 week ago
DevOps Engineer,Unify ,,Full-time,Hybrid,"['DataEngineering', 'DevOps', 'GoogleCloudPlatform(GCP)', 'Kubeflow', 'MLOps', 'MLflow', 'Operations', 'SkillDevelopment', 'SoftwareDevelopment']",11-50 employees,," Boston, MA",6 days ago
Entry level computer engineer,Revature ,,Full-time,On-site,"['C(ProgrammingLanguage)', 'C#', 'C++', 'CascadingStyleSheets(CSS)', 'HTML', 'Java', 'JavaScript', 'Node.js', 'Python(ProgrammingLanguage)', 'React.js']","1,001-5,000 employees ", IT Services and IT Consulting," Fall River, MA",6 days ago
Lead Data Engineer - Hybrid,Incendia Partners ,,Full-time,Hybrid,"['AdobeInDesign', 'BuildingPerformance', 'Cross-teamCollaboration', 'DataAnalytics', 'DataCenterVirtualization', 'DataIntegration', 'DataModeling', 'DataWarehousing', 'RootCause', 'SkillDevelopment']",11-50 employees , Staffing and Recruiting," Boston, MA",1 week ago
CMM Programmer,HCLTech ,,Full-time,On-site,"['CMM', 'Calibration', 'DimensionalMetrology', 'MCOSMOSCoordinateMeasuringMachineSoftware', 'Manufacturing', 'Measurements', 'MechanicalEngineering', 'Programming', 'SemiconductorEngineering', 'SystemsEngineering']","10,001+ employees ", IT Services and IT Consulting," Milpitas, CA",6 days ago
Undergraduate Intern – Software Engineer,HM Health Solutions ,,Full-time,On-site,[],"1,001-5,000 employees ", IT Services and IT Consulting," Pennsylvania, United States",1 week ago
2024 Intern - Software Engineer,Adobe ,,Full-time,On-site,"['C++', 'Communication', 'Debugging', 'DefiningRequirements', 'Java', 'JavaScript', 'ProblemSolving', 'Python(ProgrammingLanguage)']","10,001+ employees ", Software Development," Lehi, UT Reposted  2 weeks ago",2 weeks ago
